hora,ponto_idx,latitude,longitude,temperatura_condutor_p90,risco_termico
2023-01-01 00:00:00,0,-23.5505,-46.6333,84.62851012950341,0.261
2023-01-01 01:00:00,0,-23.5505,-46.6333,84.17948877952534,0.243
2023-01-01 02:00:00,0,-23.5505,-46.6333,82.81651150276667,0.216
2023-01-01 00:00:00,1,-23.550566666666665,-46.63336666666667,85.5695523081871,0.281
2023-01-01 01:00:00,1,-23.550566666666665,-46.63336666666667,85.01474258839626,0.238
2023-01-01 02:00:00,1,-23.550566666666665,-46.63336666666667,84.02839681196572,0.234
2023-01-01 00:00:00,2,-23.550633333333334,-46.63343333333333,85.00257835164689,0.259
2023-01-01 01:00:00,2,-23.550633333333334,-46.63343333333333,84.23679043129763,0.243
2023-01-01 02:00:00,2,-23.550633333333334,-46.63343333333333,83.03084699156932,0.228
2023-01-01 00:00:00,3,-23.5507,-46.6335,84.93299500025829,0.264
2023-01-01 01:00:00,3,-23.5507,-46.6335,85.11465935910773,0.254
2023-01-01 02:00:00,3,-23.5507,-46.6335,82.00038955191276,0.214
2023-01-01 00:00:00,4,-23.550766666666668,-46.63356666666667,85.61422481173418,0.273
2023-01-01 01:00:00,4,-23.550766666666668,-46.63356666666667,83.75005234423776,0.248
2023-01-01 02:00:00,4,-23.550766666666668,-46.63356666666667,81.88242646945828,0.202
2023-01-01 00:00:00,5,-23.550833333333333,-46.633633333333336,86.61762790962834,0.267
2023-01-01 01:00:00,5,-23.550833333333333,-46.633633333333336,84.60344444259366,0.236
2023-01-01 02:00:00,5,-23.550833333333333,-46.633633333333336,82.36693215342137,0.195
2023-01-01 00:00:00,6,-23.5509,-46.6337,85.7634344851009,0.279
2023-01-01 01:00:00,6,-23.5509,-46.6337,84.19999243565985,0.244
2023-01-01 02:00:00,6,-23.5509,-46.6337,82.58233805052944,0.218
2023-01-01 00:00:00,7,-23.550966666666667,-46.633766666666666,86.16694609301031,0.269
2023-01-01 01:00:00,7,-23.550966666666667,-46.633766666666666,84.54116482985353,0.255
2023-01-01 02:00:00,7,-23.550966666666667,-46.633766666666666,81.77308186375299,0.195
2023-01-01 00:00:00,8,-23.551033333333333,-46.633833333333335,85.35440841197959,0.279
2023-01-01 01:00:00,8,-23.551033333333333,-46.633833333333335,84.1179506808697,0.234
2023-01-01 02:00:00,8,-23.551033333333333,-46.633833333333335,82.65311743444298,0.199
2023-01-01 00:00:00,9,-23.5511,-46.633900000000004,87.94494374030803,0.285
2023-01-01 01:00:00,9,-23.5511,-46.633900000000004,83.90090603344858,0.246
2023-01-01 02:00:00,9,-23.5511,-46.633900000000004,83.66429079392373,0.242
2023-01-01 00:00:00,10,-23.551166666666667,-46.633966666666666,85.6262107678992,0.272
2023-01-01 01:00:00,10,-23.551166666666667,-46.633966666666666,83.61377209601254,0.234
2023-01-01 02:00:00,10,-23.551166666666667,-46.633966666666666,81.55558185926105,0.185
2023-01-01 00:00:00,11,-23.551233333333332,-46.634033333333335,85.11497976033264,0.276
2023-01-01 01:00:00,11,-23.551233333333332,-46.634033333333335,83.8115961370285,0.239
2023-01-01 02:00:00,11,-23.551233333333332,-46.634033333333335,82.12738052014953,0.216
2023-01-01 00:00:00,12,-23.5513,-46.634100000000004,86.13961698996201,0.282
2023-01-01 01:00:00,12,-23.5513,-46.634100000000004,84.37186863741537,0.235
2023-01-01 02:00:00,12,-23.5513,-46.634100000000004,81.25421921514975,0.209
2023-01-01 00:00:00,13,-23.551366666666667,-46.63416666666667,83.84994433970006,0.25
